dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,-1,50,,,,,,1.930936574935913,1.930936574935913,True
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,0,100,22.14,58.0,22.129999999999995,74.05396509170532,1.4731757640838623,1.3243327140808105,76.85147356987,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,1,150,25.979999694824215,122.0,25.929999618530275,74.43318676948547,1.5608298778533936,1.1892266273498535,77.18324327468872,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,2,200,30.799999465942378,192.0,30.41999912261963,74.20031142234802,1.4564173221588135,2.0074679851531982,77.66419672966003,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,3,250,33.439999389648435,186.0,32.839999198913574,79.92741990089417,1.5593695640563965,1.3302834033966064,82.81707286834717,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,4,300,34.4599991607666,168.0,34.21999931335449,80.8040680885315,1.5226542949676514,2.2598633766174316,84.58658576011658,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,5,350,37.61999877929688,108.0,37.56999897003174,84.42098808288574,1.6367161273956299,1.2166774272918701,87.27438163757324,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,6,400,38.43999885559082,148.0,38.49999919891357,84.11326193809509,1.4926695823669434,2.293734312057495,87.89966583251953,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,7,450,40.219999084472654,164.0,38.78999866485596,88.29123640060425,1.5219533443450928,1.3072516918182373,91.12044143676758,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,8,500,39.51999885559082,142.0,38.709999084472656,88.3588535785675,1.518833875656128,2.1826491355895996,92.06033658981323,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,9,550,40.71999885559082,172.0,39.74999839782715,92.17143130302429,1.590759038925171,2.124497652053833,95.8866879940033,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,10,600,42.05999839782715,186.0,41.32999839782715,92.28575778007507,1.6303160190582275,1.9940145015716553,95.91008830070496,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,11,650,43.05999885559082,198.0,40.849998512268066,96.11273288726807,1.4663426876068115,1.3194012641906738,98.89847683906555,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,12,700,44.33999870300293,190.0,43.43999908447265,96.66732859611511,1.6088650226593018,1.2304325103759766,99.50662612915039,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,13,750,44.17999885559082,154.0,42.4399984741211,100.19684147834778,1.4676110744476318,1.319103479385376,102.98355603218079,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,14,800,43.839998931884764,192.0,42.6899984741211,99.32653284072876,1.4958791732788086,1.321737289428711,102.14414930343628,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,15,850,45.27999900817871,124.0,42.689998626708984,103.99411273002625,1.5011100769042969,2.0198986530303955,107.51512145996094,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,16,900,46.019999237060546,148.0,44.40999885559082,104.16243147850037,1.4938220977783203,1.3079979419708252,106.96425151824951,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,17,950,45.69999870300293,192.0,43.689998664855956,107.60526394844055,1.5180325508117676,1.3569493293762207,110.48024582862854,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,18,1000,46.63999900817871,200.0,45.43999935150146,108.23140263557434,1.519085168838501,1.3436980247497559,111.0941858291626,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,19,1050,46.51999862670898,198.0,44.8699984741211,111.16828203201294,1.4798412322998047,1.2264759540557861,113.87459921836853,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,20,1100,47.479999465942385,180.0,46.27999908447266,112.15257692337036,1.464113712310791,2.453016519546509,116.06970715522766,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,21,1150,48.29999908447266,120.0,46.719998817443845,116.35381078720093,1.4581091403961182,2.086597442626953,119.898517370224,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,22,1200,48.719999160766605,182.0,47.379999046325686,116.1146776676178,1.5822899341583252,1.3813579082489014,119.07832551002502,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,23,1250,49.67999900817871,180.0,47.98999912261963,120.73415780067444,1.509984016418457,1.2301995754241943,123.47434139251709,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,24,1300,50.21999946594238,148.0,48.619999465942385,120.57601594924927,1.4923958778381348,1.3644359111785889,123.43284773826599,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,25,1350,49.35999923706055,162.0,48.60999946594238,123.34575080871582,1.5011310577392578,1.3236045837402344,126.17048645019531,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,26,1400,50.739998779296876,194.0,49.149999389648436,124.13892602920532,1.5957295894622803,2.354759454727173,128.08941507339478,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,27,1450,50.63999969482422,190.0,49.14999927520752,127.22806572914124,1.4936611652374268,1.2347962856292725,129.95652318000793,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,28,1500,51.839999237060546,198.0,49.909998664855955,127.76333975791931,1.4806487560272217,2.06337833404541,131.30736684799194,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,29,1550,52.01999900817871,164.0,49.3799991607666,130.84245347976685,1.4747519493103027,1.3526403903961182,133.66984581947327,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,30,1600,52.17999900817871,170.0,50.87999908447266,132.99615931510925,1.4754226207733154,1.2185242176055908,135.69010615348816,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,31,1650,53.559999237060545,156.0,52.189998893737794,135.29991602897644,1.4709243774414062,1.3369991779327393,138.1078395843506,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,32,1700,52.19999931335449,160.0,50.79999908447266,134.9751124382019,1.5064232349395752,1.2768025398254395,137.75833821296692,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,33,1750,53.699998474121095,196.0,52.07999877929687,139.12789058685303,1.5655922889709473,2.364952564239502,143.05843544006348,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,34,1800,53.41999900817871,198.0,51.98999893188476,140.3491735458374,1.4956128597259521,2.067779302597046,143.9125657081604,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,35,1850,54.29999908447266,130.0,53.199998931884764,144.4666109085083,1.4445500373840332,1.2022955417633057,147.11345648765564,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,36,1900,54.65999870300293,152.0,53.20999889373779,145.83809399604797,1.4851281642913818,1.3290953636169434,148.6523175239563,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,37,1950,54.63999946594238,194.0,54.069999084472656,148.78847908973694,1.4864277839660645,2.12880802154541,152.4037148952484,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,38,2000,54.21999900817871,180.0,53.50999904632568,147.617493391037,1.4699864387512207,2.1199612617492676,151.20744109153748,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,39,2050,55.619998664855956,190.0,54.57999897003174,152.53632497787476,1.4741878509521484,1.2512004375457764,155.26171326637268,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,40,2100,55.41999893188476,150.0,54.199998683929444,151.80976366996765,1.5915136337280273,1.2572014331817627,154.65847873687744,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,41,2150,55.019998703002926,186.0,53.819998817443846,156.3268859386444,1.4934799671173096,1.2477200031280518,159.06808590888977,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,42,2200,56.77999862670899,144.0,54.79999858856201,157.45095491409302,1.475013017654419,2.154510974884033,161.08047890663147,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,43,2250,56.219999084472654,194.0,54.27999885559082,160.19933533668518,1.4785857200622559,1.348214864730835,163.02613592147827,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,44,2300,55.83999862670898,136.0,54.679998779296874,159.85852193832397,1.5580370426177979,1.2442245483398438,162.66078352928162,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,45,2350,56.319998512268064,190.0,55.25999900817871,165.74521780014038,1.4877395629882812,2.0757052898406982,169.30866265296936,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,46,2400,56.939998931884766,186.0,55.099999046325685,165.84243869781494,1.4614474773406982,1.2471880912780762,168.55107426643372,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,47,2450,56.839998931884764,128.0,55.95999889373779,169.50525331497192,1.5132615566253662,1.945868968963623,172.9643838405609,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,48,2500,56.89999877929687,184.0,56.319998779296874,170.25217080116272,1.4898781776428223,1.3273777961730957,173.06942677497864,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,49,2550,58.179998893737796,178.0,56.469998569488524,173.12179517745972,1.5213384628295898,2.068559169769287,176.7116928100586,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,50,2600,58.35999885559082,180.0,56.74999862670899,173.00789999961853,1.4921987056732178,1.367908239364624,175.86800694465637,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,51,2650,56.859998321533205,194.0,55.399999122619626,176.58231234550476,1.4761195182800293,1.3649675846099854,179.42339944839478,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,52,2700,56.359999084472655,148.0,55.35999870300293,175.37701630592346,1.5208063125610352,1.3608372211456299,178.25865983963013,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,53,2750,58.83999900817871,158.0,57.439998893737794,180.38312244415283,1.4811654090881348,1.359144687652588,183.22343254089355,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,54,2800,59.119998626708984,196.0,57.929998779296874,179.920152425766,1.5089876651763916,1.3287765979766846,182.75791668891907,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,55,2850,59.059998779296876,188.0,58.26999876022339,183.17099452018738,1.5052969455718994,2.4431087970733643,187.11940026283264,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,56,2900,59.15999877929688,190.0,58.11999872207642,184.4604914188385,1.5972950458526611,1.233119010925293,187.29090547561646,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,57,2950,59.859998817443845,192.0,57.91999835968018,186.9723138809204,1.484506607055664,1.2352333068847656,189.69205379486084,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,58,3000,59.139998016357424,150.0,57.819998779296874,187.51057648658752,1.5190999507904053,2.4568278789520264,191.48650431632996,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,59,3050,58.89999870300293,150.0,57.65999876022339,191.64896392822266,1.4738733768463135,1.3471660614013672,194.47000336647034,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,60,3100,59.7799987411499,166.0,58.10999893188477,189.8420548439026,1.4780642986297607,2.5450892448425293,193.86520838737488,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,61,3150,61.15999908447266,170.0,59.07999853134155,198.2608926296234,1.454702377319336,1.3343322277069092,201.04992723464966,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,62,3200,60.81999797821045,192.0,59.3099986076355,199.47955417633057,1.4700748920440674,1.374812364578247,202.32444143295288,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,63,3250,60.019998703002926,154.0,58.619998626708984,199.700838804245,1.5129456520080566,2.2767245769500732,203.49050903320312,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,64,3300,59.739998779296876,138.0,58.629998474121095,201.19298768043518,1.547964334487915,1.235741376876831,203.97669339179993,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,65,3350,60.499999046325684,164.0,59.99999862670899,205.154367685318,1.479480266571045,1.3536715507507324,207.98751950263977,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,66,3400,60.559998779296876,194.0,59.27999856948853,203.5553755760193,1.5002267360687256,1.3419320583343506,206.39753437042236,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,67,3450,60.539998626708986,184.0,59.189998950958255,208.4032769203186,1.4600849151611328,5.2705395221710205,215.13390135765076,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,68,3500,61.1799991607666,192.0,59.39999893188477,209.888258934021,1.44496488571167,1.2418386936187744,212.57506251335144,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,69,3550,61.43999828338623,132.0,59.91999868392944,212.36792278289795,1.5467684268951416,2.394895553588867,216.30958676338196,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,70,3600,60.81999843597412,180.0,60.00999866485596,212.51598858833313,1.5187325477600098,1.3647639751434326,215.39948511123657,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,71,3650,60.45999893188477,140.0,59.4499983215332,218.1752107143402,1.5983805656433105,1.2392816543579102,221.01287293434143,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,72,3700,60.659998435974124,188.0,60.1899984741211,218.0577573776245,1.5245699882507324,1.2636585235595703,220.84598588943481,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,73,3750,60.95999897003174,144.0,59.83999876022339,223.19708919525146,1.4551961421966553,1.3887662887573242,226.04105162620544,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,74,3800,60.83999889373779,168.0,60.15999853134155,220.29282569885254,1.4906349182128906,1.38442063331604,223.16788125038147,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,75,3850,62.179998588562015,162.0,60.45999841690063,223.40907740592957,1.4722018241882324,1.755361795425415,226.6366410255432,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,76,3900,60.87999843597412,196.0,60.3999987411499,224.66202521324158,1.455171823501587,1.252293586730957,227.36949062347412,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,77,3950,62.3399983215332,148.0,61.2999987411499,229.5213565826416,1.506263017654419,1.380387544631958,232.40800714492798,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,78,4000,61.55999813079834,150.0,60.48999881744385,228.9149134159088,1.484797477722168,1.346881628036499,231.74659252166748,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,79,4050,61.979998474121096,152.0,61.25999847412109,234.3188600540161,1.4824929237365723,1.2449157238006592,237.04626870155334,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,80,4100,62.719998588562014,140.0,61.31999843597412,232.2851493358612,1.6225359439849854,1.228743553161621,235.1364288330078,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,81,4150,62.059998474121095,132.0,61.499998550415036,236.9816496372223,1.512233018875122,1.2725510597229004,239.7664337158203,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,82,4200,62.1799987411499,198.0,60.929998550415036,242.02414917945862,1.443566083908081,1.8536839485168457,245.32139921188354,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,83,4250,62.69999813079834,172.0,61.57999816894531,244.21002411842346,1.4895923137664795,1.282789707183838,246.98240613937378,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,84,4300,61.959998779296875,164.0,60.80999879837036,242.71739768981934,1.5264406204223633,1.254800796508789,245.4986391067505,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,85,4350,62.19999870300293,180.0,60.749998779296874,246.70317602157593,1.4781334400177002,1.4067986011505127,249.58810806274414,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,86,4400,62.659998092651364,150.0,61.32999876022339,242.73459768295288,1.4599692821502686,1.245194435119629,245.43976140022278,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,87,4450,62.09999881744385,192.0,61.659998435974124,251.18763756752014,1.468461275100708,1.3469598293304443,254.0030586719513,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,88,4500,63.11999858856201,168.0,62.41999891281128,248.90736198425293,1.475912094116211,1.262007474899292,251.64528155326843,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,89,4550,61.9199983215332,156.0,60.829998683929446,254.5907928943634,1.5185036659240723,1.362131118774414,257.4714276790619,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,90,4600,62.059998664855954,164.0,61.22999849319458,255.27714657783508,1.4759347438812256,1.2484660148620605,258.00154733657837,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,91,4650,62.25999866485596,172.0,61.71999847412109,258.04334354400635,1.467238187789917,1.7476892471313477,261.2582709789276,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,92,4700,63.37999843597412,134.0,61.939998416900636,258.1299660205841,1.5147812366485596,1.977053165435791,261.62180042266846,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,93,4750,62.979998435974125,148.0,61.93999858856201,263.7092921733856,1.4987819194793701,2.3307385444641113,267.5388126373291,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,94,4800,62.67999885559082,142.0,62.38999855041504,263.973934173584,1.5442068576812744,2.094545364379883,267.61268639564514,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,95,4850,62.99999866485596,106.0,62.12999855041504,266.0199410915375,1.4956350326538086,2.1000869274139404,269.6156630516052,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,96,4900,63.91999881744385,188.0,63.75999853134155,267.2297627925873,1.5033698081970215,2.8143997192382812,271.5475323200226,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,97,4950,63.15999801635742,156.0,62.51999834060669,270.61881470680237,1.5704491138458252,2.218013286590576,274.40727710723877,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,98,5000,63.359998359680176,164.0,62.3999987411499,271.1964588165283,1.487091302871704,1.9194700717926025,274.6030201911926,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,99,5050,63.55999824523926,196.0,62.95999858856201,273.734840631485,1.4866642951965332,1.3767037391662598,276.5982086658478,False
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,100,5050,63.7399983215332,196.0,62.86999870300293,272.7446172237396,1.4764018058776855,0.0,274.2210190296173,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,-1,50,,,,,,1.4176325798034668,1.4176325798034668,True
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,0,100,21.099999999999994,58.0,21.359999923706056,75.61361908912659,1.4858107566833496,1.3425507545471191,78.44198060035706,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,1,150,23.739999847412108,104.0,23.45999992370605,75.63555932044983,1.5914502143859863,1.245161771774292,78.47217130661011,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,2,200,29.739999618530277,100.0,29.249999351501458,75.80090022087097,1.5099055767059326,1.354240894317627,78.66504669189453,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,3,250,32.859999694824225,136.0,32.02999923706055,79.63538813591003,1.546412706375122,1.36307954788208,82.54488039016724,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,4,300,35.85999893188476,118.0,35.829998664855964,79.78506374359131,1.4813923835754395,1.3680729866027832,82.63452911376953,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,5,350,36.27999893188476,170.0,36.85999900817871,83.86890578269958,1.626133680343628,1.2323031425476074,86.72734260559082,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,6,400,39.09999900817871,186.0,38.7299987411499,84.08422374725342,1.4895546436309814,1.337916612625122,86.91169500350952,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,7,450,39.439998168945316,146.0,39.239998779296876,87.4672327041626,1.4957332611083984,1.3545644283294678,90.31753039360046,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,8,500,38.05999908447266,182.0,37.45999897003174,87.48528575897217,1.471111536026001,1.3615174293518066,90.31791472434998,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,9,550,39.05999855041504,164.0,38.95999855041504,91.47402453422546,1.470818042755127,1.3372588157653809,94.28210139274597,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,10,600,40.09999855041504,172.0,39.84999908447266,91.8302354812622,1.498589038848877,1.2331445217132568,94.56196904182434,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,11,650,42.05999855041504,160.0,42.55999858856201,96.07375693321228,1.488677740097046,1.352180004119873,98.9146146774292,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,12,700,41.91999900817871,110.0,41.44999855041504,96.09246373176575,1.5059549808502197,1.2278447151184082,98.82626342773438,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,13,750,42.7999983215332,174.0,42.57999851226807,99.80623888969421,1.6123881340026855,1.2338190078735352,102.65244603157043,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,14,800,44.63999885559082,160.0,43.6499987411499,100.33181381225586,1.4806740283966064,1.2301433086395264,103.04263114929199,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,15,850,44.49999893188477,104.0,43.769998664855954,104.14051675796509,1.4558258056640625,1.221475601196289,106.81781816482544,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,16,900,45.579999084472654,172.0,45.08999900817871,104.20487785339355,1.4747610092163086,1.3505744934082031,107.03021335601807,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,17,950,47.17999885559082,194.0,46.7899987411499,107.82929873466492,1.5053777694702148,1.3432540893554688,110.6779305934906,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,18,1000,46.439998931884766,198.0,45.55999893188476,108.47187399864197,1.497283697128296,1.372581958770752,111.34173965454102,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,19,1050,47.31999923706055,136.0,47.45999912261963,112.00298547744751,1.5840611457824707,1.229224443435669,114.81627106666565,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,20,1100,48.13999893188477,172.0,46.88999923706055,111.69337892532349,1.472076416015625,1.352231502532959,114.51768684387207,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,21,1150,48.819998779296874,152.0,48.29999897003174,114.9492917060852,1.4682066440582275,1.2244529724121094,117.64195132255554,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,22,1200,47.5999991607666,148.0,47.209999046325684,115.10023140907288,1.4820733070373535,1.3493993282318115,117.93170404434204,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,23,1250,48.519998931884764,142.0,47.999999046325684,119.63258361816406,1.4856817722320557,1.3391032218933105,122.45736861228943,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,24,1300,49.63999900817871,146.0,48.97999908447266,119.8768994808197,1.4946258068084717,1.2574734687805176,122.62899875640869,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,25,1350,49.4199991607666,110.0,49.01999912261963,124.34449243545532,1.4489552974700928,1.3373570442199707,127.13080477714539,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,26,1400,49.61999961853027,198.0,48.97999927520752,123.54139113426208,1.4695632457733154,1.3997197151184082,126.41067409515381,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,27,1450,50.69999931335449,174.0,49.67999893188477,128.2328929901123,1.497652530670166,1.3427536487579346,131.0732991695404,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,28,1500,52.11999931335449,164.0,50.97999938964844,128.55034852027893,1.5212249755859375,1.3701810836791992,131.44175457954407,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,29,1550,51.03999931335449,196.0,50.549999694824216,131.5294909477234,1.6253035068511963,1.2409183979034424,134.39571285247803,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,30,1600,52.85999893188477,186.0,51.689999198913576,131.38387179374695,1.50394606590271,1.252974033355713,134.14079189300537,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,31,1650,52.27999893188476,144.0,51.12999935150147,135.8364772796631,1.4651696681976318,1.3212437629699707,138.6228907108307,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,32,1700,52.899999084472654,170.0,51.88999927520752,136.46802806854248,1.486102819442749,1.2196226119995117,139.17375349998474,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,33,1750,53.17999893188477,168.0,52.339998970031736,139.22053384780884,1.4646227359771729,1.3672969341278076,142.05245351791382,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,34,1800,52.719999084472654,148.0,52.13999900817871,139.5421588420868,1.4884147644042969,1.3618757724761963,142.39244937896729,False
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,35,1850,53.099999237060544,144.0,53.07999923706055,144.47495818138123,1.526059865951538,1.233659029006958,147.23467707633972,False
